StopId,Latitude,Longitude,City
14559,41.851303,-87.6189,Chicago
1581,41.869098,-87.62397,Chicago
1579,41.866165,-87.624082,Chicago
18318,41.864365,-87.624045,Chicago
14760,41.860475,-87.62397,Chicago
1575,41.858193,-87.623858,Chicago
1573,41.854555,-87.623812,Chicago
1583,41.871728,-87.624018,Chicago
1582,41.870393,-87.623987,Chicago
1584,41.873444,-87.624107,Chicago
15312,41.853387,-87.623668,Chicago
1126,41.896575,-87.624131,Chicago
1574,41.85577,-87.623858,Chicago
1121,41.887877,-87.624424,Chicago
1123,41.89174,-87.624036,Chicago
1122,41.890106,-87.6241,Chicago
1125,41.894823,-87.624082,Chicago
14485,41.87553,-87.624184,Chicago
76,41.878118,-87.624128,Chicago
2188,41.882425,-87.624257,Chicago
15241,41.880424,-87.624336,Chicago
1124,41.893242,-87.62405,Chicago
1119,41.885425,-87.624367,Chicago
1580,41.867913,-87.623987,Chicago
1120,41.886528,-87.624407,Chicago
14799,41.893771,-87.619856,Chicago
15999,41.720417,-87.62358,Chicago
15739,41.847457,-87.622063,Chicago
2195,41.843437,-87.617643,Chicago
2197,41.840095,-87.617378,Chicago
2201,41.83254,-87.617405,Chicago
7686,41.831028,-87.619496,Chicago
2203,41.82929,-87.617167,Chicago
2219,41.800282,-87.61615,Chicago
2980,41.721953,-87.616405,Chicago
2981,41.721913,-87.61882,Chicago
17754,41.722033,-87.614895,Chicago
2190,41.852795,-87.622015,Chicago
597,41.896828,-87.621702,Chicago
593,41.894052,-87.620238,Chicago
595,41.895668,-87.620308,Chicago
2193,41.847322,-87.61774,Chicago
2194,41.84551,-87.617675,Chicago
2196,41.841896,-87.617432,Chicago
2198,41.838493,-87.617561,Chicago
2199,41.836178,-87.61747,Chicago
17300,41.834908,-87.617437,Chicago
2202,41.830812,-87.617449,Chicago
2204,41.82724,-87.617135,Chicago
2205,41.825452,-87.617088,Chicago
2208,41.819983,-87.616945,Chicago
2209,41.818163,-87.616882,Chicago
2210,41.81628,-87.616833,Chicago
2211,41.814587,-87.616817,Chicago
2212,41.812735,-87.616753,Chicago
2213,41.810932,-87.616707,Chicago
2214,41.808698,-87.616578,Chicago
2215,41.80734,-87.616595,Chicago
2216,41.805543,-87.616547,Chicago
2217,41.803557,-87.6165,Chicago
2218,41.80172,-87.616198,Chicago
2220,41.7982,-87.616087,Chicago
2221,41.796397,-87.616038,Chicago
2224,41.792795,-87.615943,Chicago
2225,41.790912,-87.615895,Chicago
2226,41.789068,-87.615895,Chicago
2227,41.787248,-87.615832,Chicago
2228,41.785842,-87.615817,Chicago
2229,41.783688,-87.615832,Chicago
2230,41.781868,-87.615785,Chicago
2231,41.779969,-87.615668,Chicago
15537,41.780416,-87.615671,Chicago
2232,41.778348,-87.615673,Chicago
2233,41.776353,-87.615642,Chicago
2234,41.774605,-87.615593,Chicago
2238,41.769423,-87.615387,Chicago
2239,41.767268,-87.615387,Chicago
