,hospital,latitude,longitude,City_x,City_y,City
88,"11920 San Vincente Blvd Suite 500,Los Angeles, CA 90049",34.05513,-118.25703,Los Angeles,Los Angeles,Los Angeles
89,"988 N Hill St,Los Angeles, CA 90012",34.06671,-118.237386,Los Angeles,Los Angeles,Los Angeles
90,"4650 Sunset Blvd Ms43,Los Angeles, CA 90026",34.05513,-118.25703,Los Angeles,Los Angeles,Los Angeles
91,"909 Lucile Ave,Los Angeles, CA 90026",34.085645,-118.2826,Los Angeles,Los Angeles,Los Angeles
92,"903 Crenshaw Blvd,Los Angeles, CA 90019",34.056451,-118.322205,Los Angeles,Los Angeles,Los Angeles
93,"2373 Colorado Blvd,Los Angeles, CA 90041",34.14004,-118.218079,Los Angeles,Los Angeles,Los Angeles
94,"1171 S Robertson Blvd Ste 242,Los Angeles, CA 90035",34.055219,-118.383927,Los Angeles,Los Angeles,Los Angeles
95,"11560 W Pico Blvd,Los Angeles, CA 90064",34.03269,-118.44316,Los Angeles,Los Angeles,Los Angeles
96,"100 Ucla Medical Plz Ste 425,Los Angeles, CA 90024",34.05513,-118.25703,Los Angeles,Los Angeles,Los Angeles
97,"5900 W Olympic Blvd,Los Angeles, CA 90036",34.05733,-118.360105,Los Angeles,Los Angeles,Los Angeles
98,"5870 Melrose Ave,Los Angeles, CA 90038",34.083333,-118.328333,Los Angeles,Los Angeles,Los Angeles
99,"2623 E Slauson Ave,Huntington Park, CA 90255",33.989522,-118.224258,Los Angeles,Los Angeles,Los Angeles
100,"1420 S Central Ave,Glendale, CA 91204",34.127606,-118.256486,Los Angeles,Los Angeles,Los Angeles
101,"2675 E Slauson Ave,Huntington Park, CA 90255",33.989507,-118.222878,Los Angeles,Los Angeles,Los Angeles
102,"2750 E Slauson Ave,Huntington Park, CA 90255",33.988951,-118.221045,Los Angeles,Los Angeles,Los Angeles
103,"222 W Eulalia St Ste 310,Glendale, CA 91204",34.176355,-118.24774,Los Angeles,Los Angeles,Los Angeles
104,"222 W Eulalia St Ste 211,Glendale, CA 91204",34.176355,-118.24774,Los Angeles,Los Angeles,Los Angeles
105,"222 W Eulalia St Ste 100A,Glendale, CA 91204",34.176355,-118.24774,Los Angeles,Los Angeles,Los Angeles
106,"900 S Atlantic Blvd,Monterey Park, CA 91754",34.049568,-118.13852,Los Angeles,Los Angeles,Los Angeles
107,"120 S Lake Ave,Pasadena, CA 91101",34.143712,-118.131871,Los Angeles,Los Angeles,Los Angeles
108,"8900 Wilshire Blvd,Beverly Hills, CA 90211",34.066696,-118.385917,Los Angeles,Los Angeles,Los Angeles
109,"100 S Raymond Av,Alhambra, CA 91801",34.090485,-118.144098,Los Angeles,Los Angeles,Los Angeles
110,"909 S Fair Oaks Ave,Pasadena, CA 91105",34.130479,-118.150857,Los Angeles,Los Angeles,Los Angeles
111,"100 W California Blvd,Pasadena, CA 91105",34.13366,-118.152241,Los Angeles,Los Angeles,Los Angeles
112,"8700 Beverly Blvd,West Hollywood, CA 90048",34.076544,-118.380004,Los Angeles,Los Angeles,Los Angeles
113,"8623 W Sunset Blvd,West Hollywood, CA 90069",34.092338,-118.380148,Los Angeles,Los Angeles,Los Angeles
114,"7901 Santa Monica Blvd Ste 101,West Hollywood, CA 90046",34.091077,-118.361764,Los Angeles,Los Angeles,Los Angeles
115,"801 S Chevy Chase Dr,Glendale, CA 91205",34.136583,-118.240269,Los Angeles,Los Angeles,Los Angeles
116,"301 S Fair Oaks Ave Ste 301,Pasadena, CA 91105",34.140388,-118.150958,Los Angeles,Los Angeles,Los Angeles
117,"100 S Raymond Ave,Alhambra, CA 91801",34.090485,-118.144098,Los Angeles,Los Angeles,Los Angeles
118,"8501 Wilshire Blvd Ste 150,Beverly Hills, CA 90211",34.065701,-118.376756,Los Angeles,Los Angeles,Los Angeles
119,"800 Fairmount Ave Ste 215,Pasadena, CA 91105",34.132092,-118.151152,Los Angeles,Los Angeles,Los Angeles
120,"5730 Uplander Way,Culver City, CA 90230",33.985861,-118.384373,Los Angeles,Los Angeles,Los Angeles
121,"2929 E Florence Ave,Huntington Park, CA 90255",33.98268,-118.221191,Los Angeles,Los Angeles,Los Angeles
122,"7531 Santa Monica Blvd Ste 202,West Hollywood, CA 90046",34.091056,-118.354018,Los Angeles,Los Angeles,Los Angeles
123,"800 S. Fairmount St 419,Pasadena, CA 91105",34.153289,-118.148936,Los Angeles,Los Angeles,Los Angeles
124,"1111 W La Palma Ave,Anaheim, CA 92801",33.847743,-117.933598,Anaheim,Anaheim,Anaheim
125,"520 N Brookhurst St,Anaheim, CA 92801",33.838842,-117.958531,Anaheim,Anaheim,Anaheim
126,"1500 S Douglass Rd,Anaheim, CA 92806",33.810386,-117.875588,Anaheim,Anaheim,Anaheim
127,"9918 Katella Ave,Anaheim, CA 92804",33.802808,-117.959695,Anaheim,Anaheim,Anaheim
128,"3440 E La Palma Ave,Anaheim, CA 92806",33.852307,-117.843971,Anaheim,Anaheim,Anaheim
129,"3033 W Orange Ave,Anaheim, CA 92804",33.825571,-117.99491,Anaheim,Anaheim,Anaheim
130,"441 N Lakeview Ave,Anaheim, CA 92807",33.853977,-117.817298,Anaheim,Anaheim,Anaheim
131,"2040 S Euclid St,Anaheim, CA 92802",33.797452,-117.940884,Anaheim,Anaheim,Anaheim
132,"100 S Anaheim Blvd # 101,Anaheim, CA 92805",33.82415,-117.897707,Anaheim,Anaheim,Anaheim
133,"200 S Anaheim Blvd,Anaheim, CA 92805",33.834532,-117.912709,Anaheim,Anaheim,Anaheim
134,"947 S Anaheim Blvd Ste 125,Anaheim, CA 92805",33.821536,-117.909827,Anaheim,Anaheim,Anaheim
135,"710 N Euclid St,Anaheim, CA 92801",33.842091,-117.940634,Anaheim,Anaheim,Anaheim
136,"1700 S Harbor Blvd,Anaheim, CA 92802",33.806125,-117.914474,Anaheim,Anaheim,Anaheim
137,"1314 S Euclid St Ste 101,Anaheim, CA 92802",33.815566,-117.941085,Anaheim,Anaheim,Anaheim
138,"2271 W Crescent Ave,Anaheim, CA 92801",33.840294,-117.962185,Anaheim,Anaheim,Anaheim
139,"2441 W La Palma Ave Ste 100,Anaheim, CA 92801",33.848447,-117.969648,Anaheim,Anaheim,Anaheim
140,"2571 W La Palma Ave,Anaheim, CA 92801",33.847291,-117.97534,Anaheim,Anaheim,Anaheim
141,"4545 E Riverdale Ave,Anaheim, CA 92807",33.852528,-117.818951,Anaheim,Anaheim,Anaheim
142,"500 S Anaheim Hills Rd Ste 230,Anaheim, CA 92807",33.843381,-117.777007,Anaheim,Anaheim,Anaheim
143,"478 S Anaheim Hills Rd,Anaheim, CA 92807",33.844268,-117.775309,Anaheim,Anaheim,Anaheim
144,"8165 E Santa Ana Canyon Rd,Anaheim, CA 92808",33.868893,-117.747084,Anaheim,Anaheim,Anaheim
145,"1488 E Lincoln Ave,Anaheim, CA 92805",33.838901,-117.897184,Anaheim,Anaheim,Anaheim
146,"925 S Euclid St,Anaheim, CA 92802",33.819459,-117.942493,Anaheim,Anaheim,Anaheim
147,"500 S Anaheim Hills Rd Ste 206,Anaheim, CA 92807Anaheim, CA 92804",33.843381,-117.777007,Anaheim,Anaheim,Anaheim
148,"101 The City Dr S Bldg 1,Orange, CA 92868",33.802647,-117.84931,Anaheim,Anaheim,Anaheim
149,"101 E Valencia Mesa Dr,Fullerton, CA 92835",33.894477,-117.927215,Anaheim,Anaheim,Anaheim
150,"101 The City Dr S,Orange, CA 92868",33.787155,-117.888516,Anaheim,Anaheim,Anaheim
151,"2211 W Orangewood Ave,Orange, CA 92868",33.796512,-117.8761,Anaheim,Anaheim,Anaheim
152,"2141 N Harbor Blvd,Fullerton, CA 92835",33.894023,-117.929006,Anaheim,Anaheim,Anaheim
153,"12894 Harbor Blvd,Garden Grove, CA 92840",33.775154,-117.917916,Anaheim,Anaheim,Anaheim
154,"200 S Manchester Ave Ste 650,Orange, CA 92868",33.802647,-117.84931,Anaheim,Anaheim,Anaheim
155,"200 S Manchester Ave Ste 600,Orange, CA 92868",33.802647,-117.84931,Anaheim,Anaheim,Anaheim
156,"101 The City Dr S Bldg 23,Orange, CA 92868",33.802647,-117.84931,Anaheim,Anaheim,Anaheim
157,"101 The City Dr S Bldg 22C,Orange, CA 92868",33.802647,-117.84931,Anaheim,Anaheim,Anaheim
158,"101 The City Dr S Bldg 3,Orange, CA 92868",33.802647,-117.84931,Anaheim,Anaheim,Anaheim
159,"101 The City Drive South Pavilion 4  Building 25,Orange, CA 92868",33.787155,-117.888516,Anaheim,Anaheim,Anaheim
160,"101 The City Drive South Pavilion 3 Building 29,Orange, CA 92868",33.787155,-117.888516,Anaheim,Anaheim,Anaheim
161,"101 The City Drive South Pavilion 3 Room 401,Orange, CA 92868",33.787155,-117.888516,Anaheim,Anaheim,Anaheim
162,"101 The City Drive South Pavilion 3,Orange, CA 92868",33.802647,-117.84931,Anaheim,Anaheim,Anaheim
163,"293 South Main Street 200,Orange, CA 92868",33.802647,-117.84931,Anaheim,Anaheim,Anaheim
164,"200 South Manchester Avenue 110,Orange, CA 92868",33.802647,-117.84931,Anaheim,Anaheim,Anaheim
165,"101 The City Drive South Pavilion 1,Orange, CA 92868",33.802647,-117.84931,Anaheim,Anaheim,Anaheim
166,"12942 Harbor Blvd,Garden Grove, CA 92840",33.775154,-117.917916,Anaheim,Anaheim,Anaheim
167,"11300 Stanford Ave,Garden Grove, CA 92840",33.777387,-117.93565,Anaheim,Anaheim,Anaheim
168,"12601 Garden Grove Blvd,Garden Grove, CA 92843",33.775451,-117.912815,Anaheim,Anaheim,Anaheim
