,beaches,latitude,longitude,City_x,City_y,City
569,"618 E Garfield St,Waterman, IL 60556",41.767341,-88.768723,Elgin,Elgin,Elgin
570,"201 E Sea Horse Dr,Waukegan, IL 60085",42.3657,-87.850166,Elgin,Elgin,Elgin
571,"5800 N Lake Shore Dr,Chicago, IL 60657",41.87897,-87.66063,Elgin,Elgin,Elgin
572,"6300 S Lake Shore Dr,Chicago, IL 60649",41.87897,-87.66063,Elgin,Elgin,Elgin
573,"1152 N State St,Chicago, IL 60610",41.87897,-87.66063,Elgin,Elgin,Elgin
574,"3100 N Lake Shore Dr,Chicago, IL 60657",41.937944,-87.638048,Elgin,Elgin,Elgin
575,"1452 Wells St,Lake Geneva, WI 53147",42.569239,-88.417362,Elgin,Elgin,Elgin
576,"1001 N Lake Shore Dr,Chicago, IL 60611",41.87897,-87.66063,Elgin,Elgin,Elgin
577,"5200 N Lake Shore Dr,Chicago, IL 60686",41.87897,-87.66063,Elgin,Elgin,Elgin
578,"1000 N Lake Shore Plz,Chicago, IL 60611",41.87897,-87.66063,Elgin,Elgin,Elgin
579,"8002 Harlem Rd,Loves Park, IL 61111",42.354155,-88.990858,Elgin,Elgin,Elgin
626,"14775 Midway Rd,Addison, TX 75001",32.949475,-96.840217,Dallas,Dallas,Dallas
627,"2804 Regal Rd,Plano, TX 75075",33.021247,-96.748403,Dallas,Dallas,Dallas
628,"111 N 3rd St,Midlothian, TX 76065",32.496566,-96.992184,Dallas,Dallas,Dallas
629,"8229 Pecan Ridge Dr,North Richland Hills, TX 76182",32.902646,-97.204791,Dallas,Dallas,Dallas
630,"504 Berkshire Ct,Burleson, TX 76028",32.53319,-97.33381,Dallas,Dallas,Dallas
631,"900 E Glendale St,Crowley, TX 76036",32.580701,-97.343444,Dallas,Dallas,Dallas
726,"504 Berkshire Ct,Burleson, TX 76028",32.53319,-97.33381,Fort Worth,Fort Worth,Fort Worth
727,"8229 Pecan Ridge Dr,North Richland Hills, TX 76182",32.902646,-97.204791,Fort Worth,Fort Worth,Fort Worth
728,"900 E Glendale St,Crowley, TX 76036",32.580701,-97.343444,Fort Worth,Fort Worth,Fort Worth
729,"111 N 3rd St,Midlothian, TX 76065",32.496566,-96.992184,Fort Worth,Fort Worth,Fort Worth
730,"2804 Regal Rd,Plano, TX 75075",33.021247,-96.748403,Fort Worth,Fort Worth,Fort Worth
731,"623 E Pearl St,Granbury, TX 76048",32.431482,-97.770156,Fort Worth,Fort Worth,Fort Worth
