,Address,Housing Price,City,Longitude,Latitude,SQ Ft,Housing Price/SQ Ft,Norm Price,dist_hospitals,dist_gym,dist_cemetary,dist_parks,dist_beaches,dist_shopping,dist_grocery,dist_resturant,dist_golf,dist_school
3530,"2213 2nd St NW, Washington, DC 20001",0.015503241382948904,Washington,38.919636,-77.014521,1584.0,473.4848484848485,0.08973545326751073,16384.78251306036,16387.732732180764,16369.252367340574,16382.252727760078,16313.123450840518,16386.051595268997,16386.166974826636,16388.53248927745,12182.768213905154,16384.78251306036
3531,"1639 Montello Ave NE, Washington, DC 20002",0.020668673359885353,Washington,38.907966,-76.986187,2652.0,377.0316742081448,0.06415901529733928,16381.955048670812,16384.905299254468,16366.423678434678,16379.425209421493,16310.294277406167,16383.224045477986,16383.339423488083,16385.70504787763,12179.748969595856,16381.955048670812
3532,"1760 Corcoran St NW, Apt B, Washington, DC 20009",0.02676893012122511,Washington,38.911691,-77.040678,1637.0,791.0812461820403,0.17395232457491852,16386.068014030614,16389.018168855488,16370.540371501394,16383.538338942466,16314.412447637294,16387.337270624495,16387.45265334085,16389.817943241873,12185.148915259946,16386.068014030614
3533,"7125 7127 Georgia Ave NW, Washington, DC 20012",0.04134197702119708,Washington,38.976689,-77.026239,2560.0,781.25,0.17134537814697526,16389.6489358918,16392.599240188047,16374.115467108652,16387.11900449213,16317.985232579234,16390.91778674922,16391.033162112893,16393.3989743273,12185.152639155243,16389.6489358918
3534,"2500 Virginia Ave NW, Unit 1205S, Washington, DC 20037",0.04132130603268648,Washington,38.898872,-77.054934,3340.0,598.502994011976,0.12288644978160618,16386.168066791764,16389.11817055027,16370.642411383446,16383.63847920152,16314.515276558299,16387.437461750415,16387.55284697165,16389.917958644273,12186.262252255652,16386.168066791764
3535,"1922 Capitol Ave NE, Washington, DC 20002",0.018087114946773723,Washington,38.912407,-76.984714,1120.0,781.25,0.17134537814697526,16382.16537973908,16385.115641451324,16366.633575597562,16379.63552140277,16310.504002578273,16383.434346323767,16383.54972378604,16385.915387075485,12179.701655319193,16382.16537973908
3536,"1812 Benning Rd NE, Washington, DC 20002",0.04134197702119708,Washington,38.899273,-76.977,1776.0,1126.126126126126,0.2627960008289532,16380.690780677329,16383.641032228443,16365.15937343098,16378.16093977087,16309.029958113297,16381.959774861949,16382.075152824575,16384.440780590838,12178.66340438468,16380.690780677329
3537,"52 Quincy Pl NW, Apt 305, Washington, DC 20001",0.006180625564668963,Washington,38.911714,-77.010741,575.0,520.0,0.10206985176006242,16383.954761087833,16386.90497242844,16368.424918913362,16381.424989127825,16312.296123019096,16385.2238644114,16385.339244351657,16387.70473161896,12182.227159184913,16383.954761087833
3538,"2217 40th Pl NW, Washington, DC 20007",0.05167747127649635,Washington,38.919811,-77.079507,2720.0,919.1176470588235,0.20790367028754989,16389.386058145457,16392.33615498243,16373.860670197048,16386.85648240673,16317.73364066811,16390.65547183689,16390.770857397,16393.135944932917,12189.1154889772,16389.386058145457
3539,"1301 Delaware Ave SW, Apt N403, Washington, DC 20024",0.002790583448930803,Washington,38.874189,-77.015446,650.0,207.69230769230768,0.019255383705335513,16381.631317855241,16384.581449642068,16366.10457443886,16379.10168225251,16309.977008845948,16382.900636902585,16383.016020749934,16385.381230214876,12181.8720027783,16381.631317855241
