,shopping,latitude,longitude,City
99,"1515 Westwood Blvd,Los Angeles, CA 90024",34.053647,-118.440584,Los Angeles
100,"3924 W 3rd St,Los Angeles, CA 90020",34.068873,-118.299945,Los Angeles
101,"663 N Heliotrope Dr,Los Angeles, CA 90004",34.083115,-118.295461,Los Angeles
102,"4550 W Pico Blvd,Los Angeles, CA 90019",34.04842,-118.33486,Los Angeles
103,"401 E 6th St,Los Angeles, CA 90014",34.04285,-118.24588,Los Angeles
104,"1455 W Sunset Blvd,Los Angeles, CA 90026",34.07533,-118.25356,Los Angeles
105,"2913 N Broadway,Los Angeles, CA 90031",34.073865,-118.211026,Los Angeles
106,"3601 W 3rd St,Los Angeles, CA 90020",34.06918,-118.29441,Los Angeles
107,"2466 Riverside Dr,Los Angeles, CA 90039",34.105697,-118.25655,Los Angeles
108,"5070 Hollywood Blvd,Los Angeles, CA 90027",34.101626,-118.300181,Los Angeles
109,"5250 York Blvd,Los Angeles, CA 90042",34.120138,-118.201019,Los Angeles
110,"100 N La Cienega Blvd,Los Angeles, CA 90048",34.074681,-118.37632,Los Angeles
111,"3000 N Broadway,Los Angeles, CA 90031",34.07356,-118.210097,Los Angeles
112,"1730 W Manchester Ave,Los Angeles, CA 90047",33.9598,-118.3078,Los Angeles
113,"1501 E 23rd St,Los Angeles, CA 90011",34.01809,-118.24853,Los Angeles
114,"5101 Santa Monica Blvd,Los Angeles, CA 90029",34.090984,-118.300733,Los Angeles
115,"2619 N Figueroa St,Los Angeles, CA 90065",34.08438,-118.22201,Los Angeles
116,"12057 Wilshire Blvd,Los Angeles, CA 90025",34.044895,-118.466772,Los Angeles
117,"3278 Cahuenga Blvd W,Los Angeles, CA 90068",34.13011,-118.34934,Los Angeles
118,"4360 S Figueroa St,Los Angeles, CA 90037",34.004222,-118.282474,Los Angeles
119,"1839 S La Cienega Blvd,Los Angeles, CA 90035",34.043224,-118.376695,Los Angeles
120,"8985 Venice Blvd,Los Angeles, CA 90034",34.027346,-118.392411,Los Angeles
