,Address,Latitude,Longitude,City
150,"727 S East St,Anaheim, CA 92805",33.829562,-117.90019,Anaheim
151,"522 E Vermont Ave Ste A,Anaheim, CA 92805",33.822875,-117.903949,Anaheim
152,"522 E Vermont Ave,Anaheim, CA 92805",33.822875,-117.903949,Anaheim
153,"1425 E Lincoln Ave,Anaheim, CA 92805",33.839343,-117.898247,Anaheim
154,"221 E Florence Ave,Anaheim, CA 92805",33.821855,-117.907138,Anaheim
155,"1241 N East St,Anaheim, CA 92805",33.852836,-117.909665,Anaheim
156,"1606 E South St,Anaheim, CA 92805",33.830591,-117.893213,Anaheim
157,"847 S State College Blvd,Anaheim, CA 92806",33.829893,-117.889656,Anaheim
158,"130 S Euclid St,Anaheim, CA 92802",33.82415,-117.897707,Anaheim
159,"650 N Euclid St,Anaheim, CA 92801",33.840865,-117.940316,Anaheim
160,"2120 E Center St,Anaheim, CA 92806",33.841051,-117.887214,Anaheim
161,"1731 W La Palma Ave,Anaheim, CA 92801",33.847429,-117.943093,Anaheim
162,"1300 S Euclid St,Anaheim, CA 92802",33.815662,-117.940971,Anaheim
163,"1761 S Harbor Blvd,Anaheim, CA 92802",33.803996,-117.915622,Anaheim
164,"1500 E Cerritos Ave,Anaheim, CA 92805",33.81023,-117.892969,Anaheim
165,"1698 S Lewis St,Anaheim, CA 92805",33.82415,-117.897707,Anaheim
166,"704 N Valley St Ste J,Anaheim, CA 92801",33.841294,-117.954474,Anaheim
167,"1523 W Katella Ave,Anaheim, CA 92802",33.80362,-117.933759,Anaheim
168,"1853 W Katella Ave,Anaheim, CA 92804",33.803549,-117.948475,Anaheim
169,"1863 W Katella Ave,Anaheim, CA 92804",33.803564,-117.948853,Anaheim
170,"2970 E La Palma Ave,Anaheim, CA 92806",33.849475,-117.861643,Anaheim
171,"511 W Chapman Ave,Anaheim, CA 92802",33.789301,-117.913206,Anaheim
172,"2390 E Orangewood Ave,Anaheim, CA 92806",33.795605,-117.882245,Anaheim
173,"2403 W Ball Rd,Anaheim, CA 92804",33.818042,-117.967874,Anaheim
174,"1334 N Braeburn St,Anaheim, CA 92801",33.853383,-117.970523,Anaheim
175,"9822 Katella Ave,Anaheim, CA 92804",33.802346,-117.96136,Anaheim
176,"3160 East La Palma Avenue # K,Anaheim, CA 92806",33.82415,-117.897707,Anaheim
177,"9562 Katella Ave,Anaheim, CA 92804",33.802724,-117.966547,Anaheim
178,"9041 Cerritos Ave,Anaheim, CA 92804",33.810606,-117.974865,Anaheim
179,"3303 E Miraloma Ave,Anaheim, CA 92806",33.861251,-117.851077,Anaheim
180,"3248 W Lincoln Ave,Anaheim, CA 92801",33.831288,-118.004589,Anaheim
181,"1217 S Western Ave,Anaheim, CA 92804",33.816568,-118.002392,Anaheim
182,"500 S Knott Ave,Anaheim, CA 92804",33.825406,-118.010402,Anaheim
183,"5959 E Avenida La Vida,Anaheim, CA 92807",33.843316,-117.783306,Anaheim
184,"440 S Anaheim Hills Rd,Anaheim, CA 92807",33.845528,-117.77578,Anaheim
185,"8141 E Kaiser Blvd Ste 203,Anaheim, CA 92808",33.866558,-117.745084,Anaheim
186,"711 S Weir Canyon Rd,Anaheim, CA 92808",33.861533,-117.740015,Anaheim
187,"610 S Brookhurst St,Anaheim, CA 92804",33.82424,-117.958015,Anaheim
188,"915 S Brookhurst St,Anaheim, CA 92804",33.819471,-117.960056,Anaheim
189,"1201 N Magnolia Ave,Anaheim, CA 92801",33.851654,-117.977772,Anaheim
190,"1741 N Kellogg Dr,Anaheim, CA 92807",33.866002,-117.804987,Anaheim
191,"230 S Rose St,Anaheim, CA 92805",33.836742,-117.902587,Anaheim
192,"859 S Harbor Blvd,Anaheim, CA 92805",33.823616,-117.9164,Anaheim
