,Housing Price,City,Longitude,Latitude,SQ Ft,Housing Price/SQ Ft,Norm Price,dist_hospitals,dist_gym,dist_cemetary,dist_parks,dist_beaches,dist_shopping,dist_grocery,dist_resturant,dist_golf,dist_school
2511,0.018997049178382283,Dallas,32.809541,-96.828594,2115.0,340.3782505910165,0.16193494785553642,18322.662192981876,18318.538717000312,18313.183471620203,18314.1778443469,18323.068744618413,18315.554189574566,18315.699694223717,18307.74113526271,18313.613591999187,18307.03033669059
2512,0.028895358869743853,Dallas,32.980944,-96.825888,5500.0,199.0909090909091,0.08370798181721982,18334.59854437717,18330.467950584105,18325.109165231894,18326.101945350256,18335.024164338178,18327.481889204442,18327.627539218676,18319.669479084605,18325.53401771537,18318.95764959025
2513,0.006333229341313721,Dallas,32.750905,-96.763505,1707.0,140.597539543058,0.051321790779129045,18313.913651699124,18309.789911587748,18304.434535964505,18305.428850370878,18314.320926036806,18306.80532762585,18306.950837625416,18298.992296966597,18304.864464000424,18298.281460448718
2514,0.005515187218060699,Dallas,32.780579,-96.736729,1014.0,206.11439842209072,0.08759669722192157,18314.120254443707,18309.99420382448,18304.63767940375,18305.631477223218,18314.533724124998,18307.00912199496,18307.15467916644,18299.196300011026,18305.06589882477,18298.485128964778
2515,0.03166614670656861,Dallas,32.697042,-96.761864,5103.0,235.15579071134627,0.10367612786444161,18309.98814378104,18305.866541731128,18300.512229770018,18301.50702243659,18310.38969179629,18302.882418730867,18303.027885058607,18295.069195242104,18300.943740014845,18294.35866841615
2516,0.003404110770956125,Dallas,32.867081,-96.760392,748.0,172.45989304812835,0.06896311107773542,18321.9129909394,18317.78437071802,18312.426567918974,18313.41979048779,18322.33333878466,18314.79873497685,18314.944344643012,18306.986145679555,18312.8528843711,18306.274602342597
2517,0.03166614670656861,Dallas,32.742528,-96.844498,4200.0,285.7142857142857,0.13166899424263967,18319.047492426704,18314.927409733686,18309.57385223912,18310.56898373682,18319.444951846945,18311.94361383519,18312.08904918438,18304.130253759507,18310.006482739056,18303.419946609465
2518,0.01715249613272466,Dallas,32.843024,-96.826465,1344.0,483.6309523809524,0.24125008054072383,18324.880152793863,18320.755220022453,18315.399250028815,18316.393296888164,18325.290607090035,18317.770378577832,18317.91591297978,18309.95745580615,18315.82829244043,18309.24644624028
2519,0.007916510288186563,Dallas,32.906552,-96.874425,1555.0,192.92540192926046,0.08029430785165144,18332.764044910273,18328.638476212705,18323.28218906538,18324.276093090364,18333.176191462233,18325.653497400326,18325.79904482307,18317.840632237956,18323.71075855778,18317.129530334998
2520,0.028367589757967708,Dallas,32.866916,-96.851999,3355.0,320.41728763040237,0.15088310446296418,18328.37504948171,18324.25018413992,18318.89424723665,18319.888308881582,18328.785317191436,18321.26535707161,18321.41089011376,18313.452428280852,18319.32333832824,18312.741428359514
