StationId,Latitude,Longitude,City
34.02714,-118.2562,80119A,Los Angeles
34.033155,-118.269333,80120,Los Angeles
34.033155,-118.269333,80120S,Los Angeles
34.03276,-118.26847,80120A,Los Angeles
34.040735,-118.266118,80121,Los Angeles
34.03333,-118.26976,80120B,Los Angeles
34.040735,-118.266118,80121S,Los Angeles
34.04104,-118.26573,80121A,Los Angeles
34.04033,-118.26637,80121B,Los Angeles
34.04861,-118.258822,80122,Los Angeles
34.04861,-118.258822,80122S,Los Angeles
34.04916,-118.25933,80122A,Los Angeles
34.04936,-118.25966,80122B,Los Angeles
34.0489,-118.25839,80122C,Los Angeles
34.0487,-118.25856,80122D,Los Angeles
34.048113,-118.258228,80122F,Los Angeles
34.048127,-118.25831,80122G,Los Angeles
34.029112,-118.273603,80123,Los Angeles
34.029112,-118.273603,80123S,Los Angeles
34.03011,-118.27303,80123A,Los Angeles
34.02849,-118.27391,80123B,Los Angeles
34.022123,-118.278118,80124,Los Angeles
34.022123,-118.278118,80124S,Los Angeles
34.02142,-118.27849,80124A,Los Angeles
34.02147,-118.27856,80124B,Los Angeles
34.018227,-118.285734,80125,Los Angeles
34.018227,-118.285734,80125S,Los Angeles
34.01818,-118.28647,80125A,Los Angeles
34.01828,-118.28647,80125B,Los Angeles
34.018245,-118.29154,80126,Los Angeles
34.018245,-118.29154,80126S,Los Angeles
34.01819,-118.29024,80126A,Los Angeles
34.01819,-118.2916,80126B,Los Angeles
34.0183,-118.29173,80126C,Los Angeles
34.018331,-118.30891,80127,Los Angeles
34.018331,-118.30891,80127S,Los Angeles
34.01828,-118.30874,80127A,Los Angeles
34.01838,-118.30905,80127B,Los Angeles
34.022526,-118.335078,80128,Los Angeles
34.022526,-118.335078,80128S,Los Angeles
34.02252,-118.33528,80128A,Los Angeles
34.02256,-118.33492,80128B,Los Angeles
34.023981,-118.346095,80129,Los Angeles
34.023981,-118.346095,80129S,Los Angeles
34.02391,-118.34634,80129A,Los Angeles
34.02398,-118.34587,80129B,Los Angeles
34.024803,-118.355159,80130,Los Angeles
34.024803,-118.355159,80130S,Los Angeles
34.02472,-118.35467,80130A,Los Angeles
34.02481,-118.35569,80130B,Los Angeles
34.026355,-118.37212,80131,Los Angeles
34.026355,-118.37212,80131S,Los Angeles
34.02641,-118.37165,80131A,Los Angeles
34.02634,-118.37257,80131B,Los Angeles
34.027896,-118.388986,80132,Los Angeles
34.027896,-118.388986,80132S,Los Angeles
34.027837,-118.388471,80132A,Los Angeles
34.027919,-118.389314,80132B,Los Angeles
34.029323,-118.404255,80133,Los Angeles
34.029323,-118.404255,80133S,Los Angeles
34.02925,-118.40385,80133A,Los Angeles
34.02926,-118.40379,80133B,Los Angeles
34.02925,-118.40409,80133C,Los Angeles
34.02921,-118.40388,80133D,Los Angeles
34.036816,-118.424576,80134,Los Angeles
34.036816,-118.424576,80134S,Los Angeles
34.03667,-118.42551,80134A,Los Angeles
34.035408,-118.434234,80135,Los Angeles
34.035408,-118.434234,80135S,Los Angeles
34.03548,-118.43375,80135A,Los Angeles
34.03543,-118.43404,80135B,Los Angeles
34.03555,-118.43377,80135C,Los Angeles
34.03533,-118.4347,80135D,Los Angeles
34.03541,-118.43375,80135E,Los Angeles
34.03529,-118.43468,80135F,Los Angeles
34.03535,-118.43475,80135G,Los Angeles
