,Norm Price,Housing Price/SQ Ft,dist_hospitals,dist_gym,dist_cemetary,dist_parks,dist_beaches,dist_shopping,dist_grocery,dist_resturant,dist_golf,dist_school
30,0.2515530498373011,261.8657937806874,1800886.7153277781,1829718.8935537098,1830228.472059947,1830065.7873055618,1824323.0684393959,1829164.9514482098,1822168.181726541,1829499.661797606,1825898.1413378792,18289.374634697662
31,0.2470367257799732,257.5757575757576,1803031.113953351,1831874.145139556,1832384.0067966448,1832220.842329497,1826477.4714930968,1831320.0846108382,1824332.3345424328,1831654.7940162877,1828058.1127547596,18310.931726368584
32,0.2191145763404697,231.05263157894737,1802176.0473361905,1831039.258827066,1831549.6635562237,1831385.5792719347,1825640.9644494688,1830484.971557143,1823514.969530172,1830819.679027748,1827232.4012083681,18302.59164992393
33,0.0265309300904056,48.11827956989247,1799708.2119957875,1828542.9170670195,1829052.5672098093,1828889.761277505,1823146.879048242,1827988.9450868913,1820994.609606345,1828323.6552026952,1824723.3996126123,18277.616028820557
34,0.0798678375164986,98.78277153558052,1799725.9879488337,1828559.9219134576,1829069.5513604817,1828906.780470702,1823163.945741285,1828005.958580786,1821010.9484507018,1828340.6687645442,1824740.055381611,18277.785742724784
35,0.1343249734931138,150.51136363636363,1800510.8046352132,1829338.9978511613,1829848.4710026004,1829685.9646717822,1823943.488148212,1828785.0997982218,1821784.937515501,1829119.8104870105,1825516.4799200608,18285.57397528246
36,0.0846584291898116,103.33333333333331,1799770.1624686164,1828604.6094088731,1829114.252432644,1828951.458548649,1823208.5926048446,1828050.640400366,1821056.0678930066,1828385.3505395425,1824784.970550711,18278.23283710485
37,0.4408379343821799,441.6666666666667,1801781.7148799165,1830641.9953049528,1831152.3229097947,1830988.3693281398,1825243.9315213305,1830087.740252377,1823115.2627103154,1830422.448008247,1826833.846576664,18298.617766834603
38,0.1304639031180297,146.84375,1803086.5214615832,1831941.3705458094,1832451.548330432,1832287.8484134974,1826543.7526389237,1831387.177979248,1824409.7088333846,1831721.8862784037,1828130.6650365568,18311.609093783307
39,0.4351812805823125,436.2934362934363,1801120.5041122884,1829981.5052457175,1830491.854391053,1830327.864385812,1824583.377867252,1829427.2412350846,1822455.5234389547,1829761.9489120843,1826173.7353929519,18292.013215434603
40,0.2374417561613011,248.46153846153845,1801612.9872747576,1830447.488246745,1830957.1264372852,1830794.340545294,1825051.483938631,1829893.5211609707,1822898.6280678532,1830228.2313150335,1826627.7242608897,18296.66154572372
41,0.1437877362094314,159.5,1802459.116434797,1831315.7636856919,1831825.9917338397,1831662.206737024,1825917.9963740765,1830761.550164056,1823785.7723318036,1831096.2582824694,1827505.9203894543,18305.353839005104
