hospital,grocery,gym,parks,beaches,cemetary,shopping,resturant,golf
"2070 Century Park E,Los Angeles, CA 90067","801 N Alma Ave,Los Angeles, CA 90063","6015 Santa Monica Blvd,Los Angeles, CA 90038","110 E 9th St,Los Angeles, CA 90079",,"720 E Florence Ave,Inglewood, CA 90301","606 E 1st St,Los Angeles, CA 90012","7469 Melrose Ave,Los Angeles, CA 90046","1516 N Gardner St,Los Angeles, CA 90046"
"12700 Braddock Dr,Los Angeles, CA 90066","4322 S Central Ave,Los Angeles, CA 90011","805 S La Brea Ave,Los Angeles, CA 90036","919 S Grand Ave,Los Angeles, CA 90015",,"5835 W Slauson Ave,Culver City, CA 90230","425 E. 7th St,los angeles, CA 90014","11707 Washington Pl,Los Angeles, CA 90066","6420 Wilshire Blvd,Los Angeles, CA 90048"
"11301 Wilshire Blvd,Los Angeles, CA 90073","3926 N Figueroa St,Los Angeles, CA 90065","6677 Santa Monica Blvd,Los Angeles, CA 90038","1700 Stadium Way,Los Angeles, CA 90012",,"6500 Wilcox Ave,Bell, CA 90201","221 W 8th St,Los Angeles, CA 90014","8000 W Sunset Blvd,Los Angeles, CA 90046","1921 W 98th St,Los Angeles, CA 90047"
"11620 Wilshire Blvd,Los Angeles, CA 90025","3807 E Cesar E Chavez Ave,Los Angeles, CA 90063","2700 Colorado Blvd Ste 254,Los Angeles, CA 90041","320 E 14th St,Los Angeles, CA 90015",,"6501 E Gage Ave,Commerce, CA 90040","1803 N Main St,Los Angeles, CA 90031","2000 Avenue Of The Stars,Los Angeles, CA 90067","2314 Westwood Blvd,Los Angeles, CA 90064"
"5525 W Slauson Ave,Los Angeles, CA 90056","4050 Broadway Pl,Los Angeles, CA 90037","8406 Glider Ave,Los Angeles, CA 90045","1300 W Olympic Blvd,Los Angeles, CA 90015",,"6555 E Gage Ave,Commerce, CA 90040","1101 E Washington Blvd,Los Angeles, CA 90021","1019 Westwood Blvd,Los Angeles, CA 90024","12500 Beatrice St,Los Angeles, CA 90066"
"1904 Bailey St,Los Angeles, CA 90033","4106 E Cesar E Chavez Ave,Los Angeles, CA 90063","6220 W 87th St,Los Angeles, CA 90045","751 Echo Park Ave,Los Angeles, CA 90026",,"6364 Zindell Ave,Commerce, CA 90040","1549 Echo Park Ave,Los Angeles, CA 90026","301 N Berendo St,Los Angeles, CA 90004","8939 S Sepulveda Blvd,Los Angeles, CA 90045"
"2000 Stadium way,Los Angeles, CA 90026","4422 Union Pacific Ave,Los Angeles, CA 90023","100 Ucla Medical Plz, Suite 525,Los Angeles, CA 90024","2230 W 6th St,Los Angeles, CA 90057",,"108 N Ynez Ave,Monterey Park, CA 91754","3455 City Terrace Dr,Los Angeles, CA 90063","1253 Vine St Ste 9,Los Angeles, CA 90038","4509 S Centinela Ave,Los Angeles, CA 90066"
"3160 Geneva St,Los Angeles, CA 90020","4100 W Pico Blvd,Los Angeles, CA 90019","757 Westwood Plz,Los Angeles, CA 90095","1801 W Sunset Blvd,Los Angeles, CA 90026",,"506 N Garfield Ave Ste 210,Alhambra, CA 91801","4920 Santa Monica Blvd,Los Angeles, CA 90029","5930 Franklin Ave,Los Angeles, CA 90028","3513 S Centinela Ave,Los Angeles, CA 90066"
"4640 Hollywood Blvd,Los Angeles, CA 90027","1615 E Florence Ave,Los Angeles, CA 90001","431 S Hewitt St,Los Angeles, CA 90013","1880 Academy Dr,Los Angeles, CA 90012",,"10621 Flaxton St,Culver City, CA 90230","4907 Maplewood Ave,Los Angeles, CA 90004","7929 Emerson Ave,Los Angeles, CA 90045","2028 Stoner Ave,Los Angeles, CA 90025"
"2202 S Figueroa St # 230,Los Angeles, CA 90007","1801 E Florence Ave,Los Angeles, CA 90001","3018 W Pico Blvd,Los Angeles, CA 90006","1205 S Boyle Ave,Los Angeles, CA 90023",,"100 Aquarium Way,Long Beach, CA 90802","726 W Slauson Ave,Los Angeles, CA 90044","10922 Kinross Ave,Los Angeles, CA 90024","4151 Redwood Ave,Los Angeles, CA 90066"
"531 W College St,Los Angeles, CA 90012","7919 S Central Ave,Los Angeles, CA 90001","1947 1/2 Hillhurst Ave,Los Angeles, CA 90027","Main St &amp; Msn,Los Angeles, CA 90031",,,"6333 S Broadway,Los Angeles, CA 90003","612 N Sepulveda Blvd,Los Angeles, CA 90049","11962 Wilshire Blvd,Los Angeles, CA 90025"
"845 S Burlington Ave,Los Angeles, CA 90057","11200 Compton Ave,Los Angeles, CA 90059","4356 W Adams Blvd,Los Angeles, CA 90018","325 W Adams Blvd,Los Angeles, CA 90007",,,"5702 York Blvd,Los Angeles, CA 90042","522 S Lorena St,Los Angeles, CA 90063","12100 Wilshire Blvd Ste M50,Los Angeles, CA 90025"
"1830 S Robertson Blvd,Los Angeles, CA 90035","2035 Hillhurst Ave,Los Angeles, CA 90027","620 1/2 S La Brea Ave,Los Angeles, CA 90036","1827 S Hoover St,Los Angeles, CA 90006",,,"10817 Venice Blvd,Los Angeles, CA 90034","1200 N Highland Ave,Los Angeles, CA 90038","3600 Wilshire Blvd Ste 406,Los Angeles, CA 90010"
"1300 N Vermont Ave,Los Angeles, CA 90027","3760 S Centinela Ave,Los Angeles, CA 90066Los Angeles, CA 90012","620 S La Brea Ave,Los Angeles, CA 90036","2560 W Olympic Blvd,Los Angeles, CA 90006",,,"12121 W Pico Blvd,Los Angeles, CA 90064","1225 Venice Blvd,Los Angeles, CA 90006","1930 W 120th St,Los Angeles, CA 90047"
"640 N Broadway,Los Angeles, CA 90012","11737 San Vicente Blvd,Los Angeles, CA 90049","7117 1/2 W Sunset Blvd # 2,Los Angeles, CA 90046","3501 Valley Blvd,Los Angeles, CA 90031",,,"12146 Santa Monica Blvd,Los Angeles, CA 90025","2311 Cotner Ave,Los Angeles, CA 90064","11640 San Vicente Blvd,Los Angeles, CA 90049"
"1032 S Main St,Los Angeles, CA 90015","788 S Grand Ave,Los Angeles, CA 90017","3341 Floyd Ter,Los Angeles, CA 90068","1016 S Fresno St,Los Angeles, CA 90023",,,"5507 Hollywood Blvd,Los Angeles, CA 90028","210 N Western Ave Ste 103,Los Angeles, CA 90004","601 Club View Dr,Los Angeles, CA 90024"
"1046 S Figueroa St,Los Angeles, CA 90015","2925 Division St,Los Angeles, CA 90065","6201 S La Brea Ave,Los Angeles, CA 90056","2830 Lancaster Ave,Los Angeles, CA 90033",,,"10830 W Pico Blvd,Los Angeles, CA 90064","2040 Hillhurst Ave,Los Angeles, CA 90027","11301 Wilshire Blvd # 329,Los Angeles, CA 90073"
"1983 Marengo St,Los Angeles, CA 90033","7316 Compton Ave,Los Angeles, CA 90001","10131 National Blvd,Los Angeles, CA 90034","3141 E Olympic Blvd,Los Angeles, CA 90023",,,"3824 Beverly Blvd,Los Angeles, CA 90004","7950 Melrose Ave,Los Angeles, CA 90046","3600 Wilshire Blvd Ste 100B,Los Angeles, CA 90010"
"1120 W Washington Blvd,Los Angeles, CA 90015","11840 Wilmington Ave,Los Angeles, CA 90059","3440 Motor Ave,Los Angeles, CA 90034","3303 Wilshire Blvd,Los Angeles, CA 90010",,,"3732 W 3rd St,Los Angeles, CA 90020","10250 Santa Monica Blvd,Los Angeles, CA 90067","6080 Center Dr,Los Angeles, CA 90045"
"400 W 30th St,Los Angeles, CA 90007","606 E 1st St,Los Angeles, CA 90012","1950 Sawtelle Blvd Ste 185,Los Angeles, CA 90025","501 Vista Gloriosa Dr,Los Angeles, CA 90065",,,"868 N Virgil Ave,Los Angeles, CA 90029","900 W Olympic Blvd,Los Angeles, CA 90015","3130 S Sepulveda Blvd Ste C,Los Angeles, CA 90034"
"3143 W Sunset Blvd,Los Angeles, CA 90026","425 E. 7th St,los angeles, CA 90014","12422 Santa Monica Blvd,Los Angeles, CA 90025","415 S Berendo St,Los Angeles, CA 90020",,,"4350 Melrose Ave,Los Angeles, CA 90029","819 S Flower St,Los Angeles, CA 90017","547 S Western Ave,Los Angeles, CA 90020"
"2409 S Vermont Ave,Los Angeles, CA 90007","1101 E Washington Blvd,Los Angeles, CA 90021","605 S Los Angeles St,Los Angeles, CA 90014","2900 S Vermont Ave,Los Angeles, CA 90027",,,"4803 Melrose Ave,Los Angeles, CA 90029","609 S Grand Ave,Los Angeles, CA 90017","1801 S Bundy Dr,Los Angeles, CA 90025"
"3484 E 1st St,Los Angeles, CA 90063","1549 Echo Park Ave,Los Angeles, CA 90026","1200 S Grand Ave,Los Angeles, CA 90015","4222 S Central Ave,Los Angeles, CA 90011",,,"212 E 8th St,Los Angeles, CA 90014","1001 Broxton Ave,Los Angeles, CA 90024","541 N Western Ave,Los Angeles, CA 90004"
"1061 E Vernon Ave,Los Angeles, CA 90011","726 W Slauson Ave,Los Angeles, CA 90044","424 W Pico Blvd,Los Angeles, CA 90015","1550 S Normandie Ave,Los Angeles, CA 90006",,,"3255 Beverly Blvd,Los Angeles, CA 90057","705 N Evergreen Ave,Los Angeles, CA 90033","2520 W 8th St Ste 208,Los Angeles, CA 90057"
