"3643 Whittier Blvd, East, Los Angeles, CA 90023",3400000,Los Angeles,,34.025317,-118.19449
"1350 E 71st St, Los Angeles, CA 90001",850000,Los Angeles,2200,33.975465,-118.250304
"2911 S Wellington Rd, Los Angeles, CA 90016",925000,Los Angeles,1333,34.029034,-118.338711
"8693 Franklin Ave, Los Angeles, CA 90069",5495000,Los Angeles,3200,34.098209,-118.378869
"3903 W 59th Pl, Los Angeles, CA 90043",949900,Los Angeles,1748,33.9865,-118.342135
"159 W 94th St, Los Angeles, CA 90003",695000,Los Angeles,2216,33.951272,-118.276149
"2054 N Las Palmas Ave, Los Angeles, CA 90068",1997000,Los Angeles,2603,34.107709,-118.336116
"5040 Williams Pl, Los Angeles, CA 90032",535000,Los Angeles,601,34.067835,-118.174948
"4501 Maplewood Ave, Los Angeles, CA 90004",1295000,Los Angeles,3192,34.080179,-118.302411
"4300 Don Arellanes Dr, Los Angeles, CA 90008",1849000,Los Angeles,2289,34.008385,-118.349042
"255 S Coronado St, Los Angeles, CA 90057",988990,Los Angeles,1414,34.066754,-118.277626
"1568 Blue Jay Way, Los Angeles, CA 90069",15995000,Los Angeles,7700,34.10163,-118.386304
"5134 W 20th St, Los Angeles, CA 90016",1098000,Los Angeles,1055,34.03968,-118.352313
"4321 Prospect Ave, Los Angeles, CA 90027",2649950,Los Angeles,3619,34.102069,-118.28385
"458 N Alta Vista Blvd, Los Angeles, CA 90036",1699000,Los Angeles,2480,34.079944,-118.347075
"4816 Glacier Dr, Los Angeles, CA 90041",925000,Los Angeles,1104,34.133561,-118.191567
"1476 E 108th St, Los Angeles, CA 90059",799999,Los Angeles,1633,33.937539,-118.248291
"2366 Lyric Ave, Los Angeles, CA 90027",1545000,Los Angeles,2363,34.103944,-118.274772
"2057 N Catalina St, Los Angeles, CA 90027",2498888,Los Angeles,2644,34.109211,-118.295394
"2512 S Centinela Ave, Los Angeles, CA 90064",2395000,Los Angeles,2209,34.02545,-118.450359
"40111 179th St E, Lake, Los Angeles, CA 93591",395000,Los Angeles,1424,34.610452,-117.810892
"707 N Ave, 54, Los Angeles, CA 90042",1312000,Los Angeles,1388,34.114605,-118.19941
